mutation_step,id_1,parent_1,phi_1,r1_1,r2_1,p1_1,p2_1,r1r2_1,r1p1_1,r2r1_1,r2p2_1,id_2,parent_2,phi_2,r1_2,r2_2,p1_2,p2_2,r1r2_2,r1p1_2,r2r1_2,r2p2_2,id_3,parent_3,phi_3,r1_3,r2_3,p1_3,p2_3,r1r2_3,r1p1_3,r2r1_3,r2p2_3,id_4,parent_4,phi_4,r1_4,r2_4,p1_4,p2_4,r1r2_4,r1p1_4,r2r1_4,r2p2_4
0,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.000,0.970,1.000,0.983,0.985,0.019,0.011,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
1,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,,,,,,,,,,,,,,,,,,,,,,
2,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,,,,,,,,,,,
3,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,4.000,3.000,0.013,0.954,0.979,0.997,0.967,0.031,0.015,0.006,0.015
4,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,4.000,3.000,0.013,0.954,0.979,0.997,0.967,0.031,0.015,0.006,0.015
5,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,5.000,2.000,0.000,0.968,0.990,0.987,0.989,0.013,0.018,0.008,0.002
6,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,5.000,2.000,0.000,0.968,0.990,0.987,0.989,0.013,0.018,0.008,0.002
7,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,3.000,2.000,0.003,0.958,0.987,0.991,0.961,0.029,0.013,0.013,0.000,5.000,2.000,0.000,0.968,0.990,0.987,0.989,0.013,0.018,0.008,0.002
8,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,,,,,,,,,,,,,,,,,,,,,,
9,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,10.000,9.000,0.007,0.976,0.984,1.000,0.993,0.010,0.014,0.009,0.007,,,,,,,,,,,
10,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,10.000,9.000,0.007,0.976,0.984,1.000,0.993,0.010,0.014,0.009,0.007,11.000,10.000,0.014,0.997,0.984,0.994,0.984,0.003,0.000,0.005,0.011
11,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,10.000,9.000,0.007,0.976,0.984,1.000,0.993,0.010,0.014,0.009,0.007,11.000,10.000,0.014,0.997,0.984,0.994,0.984,0.003,0.000,0.005,0.011
12,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,10.000,9.000,0.007,0.976,0.984,1.000,0.993,0.010,0.014,0.009,0.007,13.000,12.000,0.024,1.000,0.995,1.000,0.972,0.000,0.000,0.005,0.000
13,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,10.000,9.000,0.007,0.976,0.984,1.000,0.993,0.010,0.014,0.009,0.007,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000
14,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007
15,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007
16,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007
17,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007
18,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,14.000,9.000,0.000,0.942,0.979,0.989,0.981,0.022,0.037,0.021,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007
19,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001
20,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001
21,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,15.000,14.000,0.005,0.958,0.966,1.000,0.984,0.003,0.039,0.027,0.007,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001
22,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001,21.000,9.000,0.000,0.961,0.959,1.000,0.986,0.019,0.020,0.025,0.016
23,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001,21.000,9.000,0.000,0.961,0.959,1.000,0.986,0.019,0.020,0.025,0.016
24,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001,21.000,9.000,0.000,0.961,0.959,1.000,0.986,0.019,0.020,0.025,0.016
25,2,1,0.000,0.967,0.994,0.995,0.971,0.015,0.018,0.006,0.000,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,16.000,15.000,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001,21.000,9.000,0.000,0.961,0.959,1.000,0.986,0.019,0.020,0.025,0.016
26,9,2,0.000,0.957,0.988,1.000,0.988,0.017,0.026,0.012,0.000,16,15,0.000,0.963,0.972,0.997,0.982,0.004,0.033,0.027,0.001,21.000,9.000,0.000,0.961,0.959,1.000,0.986,0.019,0.020,0.025,0.016,26.000,9.000,0.000,0.977,0.991,1.000,0.994,0.010,0.013,0.004,0.005
