mutation_step,id_1,parent_1,phi_1,r1_1,r2_1,p1_1,p2_1,r1r2_1,r1p1_1,r2r1_1,r2p2_1,id_2,parent_2,phi_2,r1_2,r2_2,p1_2,p2_2,r1r2_2,r1p1_2,r2r1_2,r2p2_2,id_3,parent_3,phi_3,r1_3,r2_3,p1_3,p2_3,r1r2_3,r1p1_3,r2r1_3,r2p2_3,id_4,parent_4,phi_4,r1_4,r2_4,p1_4,p2_4,r1r2_4,r1p1_4,r2r1_4,r2p2_4
0,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,,,,,,,,,,,,,,,,,,,,,,
1,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,2.000,1.000,0.005,0.998,0.957,0.984,0.999,0.000,0.002,0.020,0.023,,,,,,,,,,,
2,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,2.000,1.000,0.005,0.998,0.957,0.984,0.999,0.000,0.002,0.020,0.023,3.000,0.000,0.008,1.000,0.977,0.971,1.000,0.000,0.000,0.008,0.015
3,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,2.000,1.000,0.005,0.998,0.957,0.984,0.999,0.000,0.002,0.020,0.023,3.000,0.000,0.008,1.000,0.977,0.971,1.000,0.000,0.000,0.008,0.015
4,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,3.000,0.000,0.008,1.000,0.977,0.971,1.000,0.000,0.000,0.008,0.015,4.000,2.000,0.003,0.992,0.959,0.971,0.995,0.007,0.001,0.018,0.024
5,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,4.000,2.000,0.003,0.992,0.959,0.971,0.995,0.007,0.001,0.018,0.024,5.000,3.000,0.000,1.000,0.962,0.985,1.000,0.000,0.000,0.008,0.030
6,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,5.000,3.000,0.000,1.000,0.962,0.985,1.000,0.000,0.000,0.008,0.030,6.000,4.000,0.008,0.983,0.962,0.971,0.980,0.017,0.000,0.011,0.027
7,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,5.000,3.000,0.000,1.000,0.962,0.985,1.000,0.000,0.000,0.008,0.030,7.000,5.000,0.001,1.000,0.954,0.970,0.987,0.000,0.000,0.007,0.039
8,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,7.000,5.000,0.001,1.000,0.954,0.970,0.987,0.000,0.000,0.007,0.039,8.000,6.000,0.008,0.977,0.954,0.983,0.979,0.023,0.000,0.020,0.027
9,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,1,0,0.002,0.991,0.980,0.980,1.000,0.008,0.001,0.000,0.020,9.000,7.000,0.003,1.000,0.950,0.966,0.987,0.000,0.000,0.014,0.036,10.000,7.000,0.000,1.000,0.951,0.967,0.997,0.000,0.000,0.005,0.045
10,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,10,7,0.000,1.000,0.951,0.967,0.997,0.000,0.000,0.005,0.045,11.000,10.000,0.001,0.993,0.946,0.971,1.000,0.001,0.006,0.012,0.042,,,,,,,,,,,
11,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,10,7,0.000,1.000,0.951,0.967,0.997,0.000,0.000,0.005,0.045,11.000,10.000,0.001,0.993,0.946,0.971,1.000,0.001,0.006,0.012,0.042,12.000,10.000,0.008,0.996,0.953,0.971,0.999,0.004,0.000,0.000,0.047
12,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,11,10,0.001,0.993,0.946,0.971,1.000,0.001,0.006,0.012,0.042,12.000,10.000,0.008,0.996,0.953,0.971,0.999,0.004,0.000,0.000,0.047,13.000,12.000,0.010,0.981,0.954,0.955,0.998,0.009,0.010,0.000,0.046
13,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,13,12,0.010,0.981,0.954,0.955,0.998,0.009,0.010,0.000,0.046,14.000,11.000,0.010,0.982,0.948,0.964,1.000,0.000,0.018,0.010,0.042,,,,,,,,,,,
14,0,-1,0.001,0.990,0.990,0.990,0.990,0.005,0.005,0.005,0.005,14,11,0.010,0.982,0.948,0.964,1.000,0.000,0.018,0.010,0.042,15.000,0.000,0.001,0.989,0.984,1.000,1.000,0.009,0.002,0.000,0.016,,,,,,,,,,,
