mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9831434302174487,0.024341424313241735,,,,,,,,,,,,
1,1,0,0.9831434302174487,0.024341424313241735,,,,,,,,,,,,
2,3,1,0.9760650939441244,0.03875299225679815,,,,,,,,,,,,
3,4,3,0.9719903203276974,0.04073276263121784,,,,,,,,,,,,
4,4,3,0.9719903203276974,0.04073276263121784,,,,,,,,,,,,
5,4,3,0.9719903203276974,0.04073276263121784,6.0,4.0,0.9419174269963484,0.03191152631937112,,,,,,,,
6,4,3,0.9719903203276974,0.04073276263121784,6.0,4.0,0.9419174269963484,0.03191152631937112,,,,,,,,
7,4,3,0.9719903203276974,0.04073276263121784,6.0,4.0,0.9419174269963484,0.03191152631937112,,,,,,,,
8,6,4,0.9419174269963484,0.03191152631937112,9.0,4.0,0.9711717572397648,0.04679122503312315,,,,,,,,
9,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
10,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
11,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
12,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
13,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
14,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
15,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
16,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
17,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
18,9,4,0.9711717572397648,0.04679122503312315,10.0,6.0,0.9194231131385584,0.028918130342663467,,,,,,,,
19,10,6,0.9194231131385584,0.028918130342663467,20.0,9.0,0.9857260629045275,0.03614986364557937,,,,,,,,
20,20,9,0.9857260629045275,0.03614986364557937,21.0,10.0,0.9163256142095851,0.029565796321340543,,,,,,,,
21,20,9,0.9857260629045275,0.03614986364557937,22.0,21.0,0.8872503155981463,0.022342384226943006,,,,,,,,
22,22,21,0.8872503155981463,0.022342384226943006,23.0,20.0,0.9990343144512155,0.0325341857686896,,,,,,,,
23,22,21,0.8872503155981463,0.022342384226943006,23.0,20.0,0.9990343144512155,0.0325341857686896,,,,,,,,
24,22,21,0.8872503155981463,0.022342384226943006,23.0,20.0,0.9990343144512155,0.0325341857686896,,,,,,,,
25,22,21,0.8872503155981463,0.022342384226943006,26.0,23.0,0.993626333134256,0.056022537894006956,,,,,,,,
26,22,21,0.8872503155981463,0.022342384226943006,26.0,23.0,0.993626333134256,0.056022537894006956,,,,,,,,
27,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
28,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
29,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
30,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
31,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
32,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
33,26,23,0.993626333134256,0.056022537894006956,28.0,22.0,0.8759390242603771,0.03750005436217216,,,,,,,,
34,26,23,0.993626333134256,0.056022537894006956,35.0,28.0,0.8655058579582626,0.0266181077938554,,,,,,,,
35,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
36,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
37,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
38,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
39,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
40,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
41,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
42,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
43,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
44,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
45,26,23,0.993626333134256,0.056022537894006956,36.0,35.0,0.8562340562104428,0.04013500043744393,,,,,,,,
46,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
47,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
48,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
49,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
50,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
51,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
52,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
53,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
54,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
55,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
56,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
57,26,23,0.993626333134256,0.056022537894006956,47.0,36.0,0.8203429008285428,0.018418371815726038,,,,,,,,
58,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
59,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
60,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
61,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
62,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
63,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
64,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
65,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
66,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
67,26,23,0.993626333134256,0.056022537894006956,59.0,47.0,0.7670899154761117,0.04613385109359536,,,,,,,,
68,59,47,0.7670899154761117,0.04613385109359536,69.0,26.0,0.9969182914907133,0.05046270471676448,,,,,,,,
69,59,47,0.7670899154761117,0.04613385109359536,69.0,26.0,0.9969182914907133,0.05046270471676448,,,,,,,,
70,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
71,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
72,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
73,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
74,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
75,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
76,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
77,69,26,0.9969182914907133,0.05046270471676448,71.0,59.0,0.7422071942634936,0.033150571953017405,,,,,,,,
