mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9739231679389752,0.011933516161365936,,,,,,,,,,,,
1,1,0,0.9739231679389752,0.011933516161365936,2.0,1.0,0.9757303783409843,0.022861569690915462,,,,,,,,
2,3,2,0.9441596883538899,0.027097592972297392,,,,,,,,,,,,
3,3,2,0.9441596883538899,0.027097592972297392,,,,,,,,,,,,
4,3,2,0.9441596883538899,0.027097592972297392,5.0,3.0,0.9670251226674464,0.061014020820217334,,,,,,,,
5,3,2,0.9441596883538899,0.027097592972297392,5.0,3.0,0.9670251226674464,0.061014020820217334,,,,,,,,
6,5,3,0.9670251226674464,0.061014020820217334,7.0,3.0,0.9227202358326153,0.03680285736382749,,,,,,,,
7,5,3,0.9670251226674464,0.061014020820217334,7.0,3.0,0.9227202358326153,0.03680285736382749,,,,,,,,
8,5,3,0.9670251226674464,0.061014020820217334,9.0,7.0,0.8988040542575222,0.0282044140441967,,,,,,,,
9,5,3,0.9670251226674464,0.061014020820217334,9.0,7.0,0.8988040542575222,0.0282044140441967,,,,,,,,
10,5,3,0.9670251226674464,0.061014020820217334,9.0,7.0,0.8988040542575222,0.0282044140441967,,,,,,,,
11,5,3,0.9670251226674464,0.061014020820217334,9.0,7.0,0.8988040542575222,0.0282044140441967,,,,,,,,
12,5,3,0.9670251226674464,0.061014020820217334,9.0,7.0,0.8988040542575222,0.0282044140441967,,,,,,,,
13,5,3,0.9670251226674464,0.061014020820217334,14.0,9.0,0.886178834891967,0.041188647944969514,,,,,,,,
14,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
15,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
16,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
17,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
18,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
19,5,3,0.9670251226674464,0.061014020820217334,15.0,14.0,0.8763807137077144,0.04585300728341188,,,,,,,,
20,5,3,0.9670251226674464,0.061014020820217334,21.0,15.0,0.8712919488642257,0.02891751355578007,,,,,,,,
21,5,3,0.9670251226674464,0.061014020820217334,21.0,15.0,0.8712919488642257,0.02891751355578007,,,,,,,,
22,21,15,0.8712919488642257,0.02891751355578007,23.0,5.0,0.9760171188389254,0.03222164475895262,,,,,,,,
23,21,15,0.8712919488642257,0.02891751355578007,23.0,5.0,0.9760171188389254,0.03222164475895262,,,,,,,,
24,23,5,0.9760171188389254,0.03222164475895262,25.0,21.0,0.8524422458505742,0.04791418848326125,,,,,,,,
25,23,5,0.9760171188389254,0.03222164475895262,25.0,21.0,0.8524422458505742,0.04791418848326125,,,,,,,,
26,23,5,0.9760171188389254,0.03222164475895262,27.0,25.0,0.8596423280704812,0.029785466936651402,,,,,,,,
27,23,5,0.9760171188389254,0.03222164475895262,27.0,25.0,0.8596423280704812,0.029785466936651402,,,,,,,,
28,23,5,0.9760171188389254,0.03222164475895262,29.0,27.0,0.8394055130711554,0.030213060872814425,,,,,,,,
29,23,5,0.9760171188389254,0.03222164475895262,29.0,27.0,0.8394055130711554,0.030213060872814425,,,,,,,,
30,23,5,0.9760171188389254,0.03222164475895262,31.0,29.0,0.8284509348397416,0.02832793070619619,,,,,,,,
31,23,5,0.9760171188389254,0.03222164475895262,31.0,29.0,0.8284509348397416,0.02832793070619619,,,,,,,,
32,23,5,0.9760171188389254,0.03222164475895262,31.0,29.0,0.8284509348397416,0.02832793070619619,,,,,,,,
33,23,5,0.9760171188389254,0.03222164475895262,31.0,29.0,0.8284509348397416,0.02832793070619619,,,,,,,,
34,23,5,0.9760171188389254,0.03222164475895262,31.0,29.0,0.8284509348397416,0.02832793070619619,,,,,,,,
35,23,5,0.9760171188389254,0.03222164475895262,36.0,31.0,0.783756377203372,0.04074655142898276,,,,,,,,
36,23,5,0.9760171188389254,0.03222164475895262,36.0,31.0,0.783756377203372,0.04074655142898276,,,,,,,,
37,23,5,0.9760171188389254,0.03222164475895262,38.0,36.0,0.7763360461420498,0.040325584851067735,,,,,,,,
38,23,5,0.9760171188389254,0.03222164475895262,38.0,36.0,0.7763360461420498,0.040325584851067735,,,,,,,,
39,23,5,0.9760171188389254,0.03222164475895262,40.0,38.0,0.7493223137167557,0.0360468356053035,,,,,,,,
40,40,38,0.7493223137167557,0.0360468356053035,41.0,23.0,0.9763620111094383,0.04171216750082046,,,,,,,,
41,40,38,0.7493223137167557,0.0360468356053035,41.0,23.0,0.9763620111094383,0.04171216750082046,,,,,,,,
42,40,38,0.7493223137167557,0.0360468356053035,41.0,23.0,0.9763620111094383,0.04171216750082046,,,,,,,,
43,40,38,0.7493223137167557,0.0360468356053035,41.0,23.0,0.9763620111094383,0.04171216750082046,,,,,,,,
44,41,23,0.9763620111094383,0.04171216750082046,45.0,40.0,0.7198615279890637,0.040027716865837164,,,,,,,,
45,41,23,0.9763620111094383,0.04171216750082046,45.0,40.0,0.7198615279890637,0.040027716865837164,,,,,,,,
46,41,23,0.9763620111094383,0.04171216750082046,45.0,40.0,0.7198615279890637,0.040027716865837164,,,,,,,,
47,41,23,0.9763620111094383,0.04171216750082046,45.0,40.0,0.7198615279890637,0.040027716865837164,,,,,,,,
48,41,23,0.9763620111094383,0.04171216750082046,45.0,40.0,0.7198615279890637,0.040027716865837164,,,,,,,,
49,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
50,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
51,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
52,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
53,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
54,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
55,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
56,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
57,45,40,0.7198615279890637,0.040027716865837164,50.0,41.0,0.9903711824765622,0.047717681567986135,,,,,,,,
58,50,41,0.9903711824765622,0.047717681567986135,59.0,45.0,0.7083817031421236,0.033706803710327124,,,,,,,,
59,50,41,0.9903711824765622,0.047717681567986135,59.0,45.0,0.7083817031421236,0.033706803710327124,,,,,,,,
60,50,41,0.9903711824765622,0.047717681567986135,59.0,45.0,0.7083817031421236,0.033706803710327124,,,,,,,,
61,59,45,0.7083817031421236,0.033706803710327124,62.0,50.0,0.9980109669407781,0.04038497427144913,,,,,,,,
62,59,45,0.7083817031421236,0.033706803710327124,62.0,50.0,0.9980109669407781,0.04038497427144913,,,,,,,,
63,59,45,0.7083817031421236,0.033706803710327124,62.0,50.0,0.9980109669407781,0.04038497427144913,,,,,,,,
64,59,45,0.7083817031421236,0.033706803710327124,62.0,50.0,0.9980109669407781,0.04038497427144913,,,,,,,,
65,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
66,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
67,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
68,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
69,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
70,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
71,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
72,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
73,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
74,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,,,,,,,,
75,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,
76,62,50,0.9980109669407781,0.04038497427144913,66.0,59.0,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,
77,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
78,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
79,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
80,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
81,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
82,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
83,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
84,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
85,66,59,0.703114678522076,0.03596477236184805,76.0,62.0,0.9955470673187806,0.052220449917756845,,,,,,,,
86,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
87,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
88,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
89,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
90,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
91,66,59,0.703114678522076,0.03596477236184805,87.0,76.0,0.997261755104855,0.04634592987465293,,,,,,,,
