mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.964100352714865,0.03793893384307456,,,,,,,,,,,,
1,2,1,0.9374543003630259,0.04581568927932511,,,,,,,,,,,,
2,3,2,0.9237810720371009,0.06267769828448379,,,,,,,,,,,,
3,3,2,0.9237810720371009,0.06267769828448379,,,,,,,,,,,,
4,5,3,0.9105552399527,0.06753463839489562,,,,,,,,,,,,
5,5,3,0.9105552399527,0.06753463839489562,,,,,,,,,,,,
6,5,3,0.9105552399527,0.06753463839489562,,,,,,,,,,,,
7,5,3,0.9105552399527,0.06753463839489562,,,,,,,,,,,,
8,9,5,0.8845523434907908,0.07496374342113735,,,,,,,,,,,,
9,10,9,0.8673390225618894,0.05472615667202961,,,,,,,,,,,,
10,10,9,0.8673390225618894,0.05472615667202961,,,,,,,,,,,,
11,12,10,0.8621162827837908,0.04934189916463798,,,,,,,,,,,,
12,12,10,0.8621162827837908,0.04934189916463798,,,,,,,,,,,,
13,14,12,0.8321049051665577,0.05825281961291022,,,,,,,,,,,,
14,14,12,0.8321049051665577,0.05825281961291022,,,,,,,,,,,,
15,14,12,0.8321049051665577,0.05825281961291022,,,,,,,,,,,,
16,14,12,0.8321049051665577,0.05825281961291022,,,,,,,,,,,,
17,14,12,0.8321049051665577,0.05825281961291022,,,,,,,,,,,,
18,14,12,0.8321049051665577,0.05825281961291022,19.0,14.0,0.865478526217225,0.04752815609174487,,,,,,,,
19,14,12,0.8321049051665577,0.05825281961291022,19.0,14.0,0.865478526217225,0.04752815609174487,,,,,,,,
20,19,14,0.865478526217225,0.04752815609174487,21.0,14.0,0.824487840704163,0.024589832249920895,,,,,,,,
21,19,14,0.865478526217225,0.04752815609174487,21.0,14.0,0.824487840704163,0.024589832249920895,,,,,,,,
22,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
23,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
24,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
25,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
26,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
27,19,14,0.865478526217225,0.04752815609174487,23.0,21.0,0.8146707947821268,0.03565394921944858,,,,,,,,
28,19,14,0.865478526217225,0.04752815609174487,29.0,23.0,0.7949883707200015,0.0445231151303286,,,,,,,,
29,19,14,0.865478526217225,0.04752815609174487,29.0,23.0,0.7949883707200015,0.0445231151303286,,,,,,,,
30,19,14,0.865478526217225,0.04752815609174487,31.0,29.0,0.7799200568710503,0.048389205120904395,,,,,,,,
31,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
32,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
33,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
34,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
35,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
36,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
37,19,14,0.865478526217225,0.04752815609174487,32.0,31.0,0.7789767854996529,0.02260044709786821,,,,,,,,
