mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9954728992419547,0.02991127946351845,,,,,,,,,,,,
1,1,0,0.9954728992419547,0.02991127946351845,2.0,1.0,0.9844874198151171,0.02001470792490998,,,,,,,,
2,1,0,0.9954728992419547,0.02991127946351845,3.0,1.0,0.97996944789867,0.016713646564790456,,,,,,,,
3,3,1,0.97996944789867,0.016713646564790456,4.0,3.0,0.9968900930144259,0.038257747876092194,,,,,,,,
4,3,1,0.97996944789867,0.016713646564790456,4.0,3.0,0.9968900930144259,0.038257747876092194,,,,,,,,
5,6,3,0.9601722092304317,0.03658289484808275,,,,,,,,,,,,
6,6,3,0.9601722092304317,0.03658289484808275,,,,,,,,,,,,
7,6,3,0.9601722092304317,0.03658289484808275,,,,,,,,,,,,
8,9,6,0.9517167756088982,0.025383591535368275,,,,,,,,,,,,
9,10,9,0.941380271706169,0.03381959902882162,,,,,,,,,,,,
10,11,10,0.9198600489081216,0.047258275342862026,,,,,,,,,,,,
11,11,10,0.9198600489081216,0.047258275342862026,,,,,,,,,,,,
12,13,11,0.9086145552601134,0.03361175812291156,,,,,,,,,,,,
13,14,13,0.8913736150566623,0.041967791811456844,,,,,,,,,,,,
14,14,13,0.8913736150566623,0.041967791811456844,,,,,,,,,,,,
15,14,13,0.8913736150566623,0.041967791811456844,,,,,,,,,,,,
16,17,14,0.892055820816131,0.024965596549263162,,,,,,,,,,,,
17,17,14,0.892055820816131,0.024965596549263162,,,,,,,,,,,,
18,17,14,0.892055820816131,0.024965596549263162,,,,,,,,,,,,
19,20,17,0.8857964458937291,0.03025904944429961,,,,,,,,,,,,
20,20,17,0.8857964458937291,0.03025904944429961,,,,,,,,,,,,
21,20,17,0.8857964458937291,0.03025904944429961,,,,,,,,,,,,
22,20,17,0.8857964458937291,0.03025904944429961,,,,,,,,,,,,
23,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
24,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
25,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
26,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
27,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
28,20,17,0.8857964458937291,0.03025904944429961,24.0,20.0,0.8411930771781823,0.03303817449792992,,,,,,,,
29,24,20,0.8411930771781823,0.03303817449792992,30.0,20.0,0.8952371364349346,0.0451648030778481,,,,,,,,
30,30,20,0.8952371364349346,0.0451648030778481,31.0,24.0,0.8024342492283816,0.022124885394467518,,,,,,,,
31,30,20,0.8952371364349346,0.0451648030778481,31.0,24.0,0.8024342492283816,0.022124885394467518,,,,,,,,
32,31,24,0.8024342492283816,0.022124885394467518,33.0,30.0,0.9104698960272148,0.03707215575355092,,,,,,,,
33,31,24,0.8024342492283816,0.022124885394467518,33.0,30.0,0.9104698960272148,0.03707215575355092,,,,,,,,
34,31,24,0.8024342492283816,0.022124885394467518,33.0,30.0,0.9104698960272148,0.03707215575355092,,,,,,,,
35,31,24,0.8024342492283816,0.022124885394467518,33.0,30.0,0.9104698960272148,0.03707215575355092,,,,,,,,
36,31,24,0.8024342492283816,0.022124885394467518,37.0,33.0,0.9408180042188138,0.04208526322979955,,,,,,,,
37,37,33,0.9408180042188138,0.04208526322979955,38.0,31.0,0.785184061378969,0.0372347175749715,,,,,,,,
38,37,33,0.9408180042188138,0.04208526322979955,38.0,31.0,0.785184061378969,0.0372347175749715,,,,,,,,
39,37,33,0.9408180042188138,0.04208526322979955,40.0,38.0,0.7532094137060888,0.04939920944472928,,,,,,,,
40,37,33,0.9408180042188138,0.04208526322979955,40.0,38.0,0.7532094137060888,0.04939920944472928,,,,,,,,
41,40,38,0.7532094137060888,0.04939920944472928,42.0,37.0,0.9461863768615686,0.04545589832519697,,,,,,,,
42,40,38,0.7532094137060888,0.04939920944472928,42.0,37.0,0.9461863768615686,0.04545589832519697,,,,,,,,
43,40,38,0.7532094137060888,0.04939920944472928,42.0,37.0,0.9461863768615686,0.04545589832519697,,,,,,,,
