f_r,phi_R0max
0.99,0.001
0.9890430596642678,0.0012902846772544624
0.9880861193285355,0.0015805693545089248
0.9871291789928033,0.0018708540317633872
0.986172238657071,0.0021611387090178496
0.9852152983213388,0.002451423386272312
0.9842583579856066,0.002741708063526775
0.9833344784530953,0.0031243914958918647
0.982410598920584,0.0035070749282569546
0.9814867193880727,0.0038897583606220445
0.9805628398555615,0.004272441792987134
0.9796389603230502,0.004655125225352224
0.9787150807905389,0.005037808657717314
0.9777912012580277,0.005420492090082404
0.9768673217255164,0.005803175522447494
0.9759434421930051,0.006185858954812584
0.9750195626604938,0.006568542387177674
0.9740956831279826,0.006951225819542764
0.9731718035954713,0.0073339092519078535
0.97224792406296,0.007716592684272943
0.9713240445304487,0.008099276116638033
0.9704001649979375,0.008481959549003123
0.9694762854654262,0.008864642981368213
0.9685524059329149,0.009247326413733303
0.9676285264004036,0.009630009846098393
0.9667046468678924,0.010012693278463483
0.9657807673353811,0.010395376710828573
0.9648568878028698,0.010778060143193663
0.9639330082703585,0.011160743575558752
0.9630091287378473,0.011543427007923842
0.962085249205336,0.011926110440288932
0.9611613696728247,0.012308793872654022
0.9602374901403135,0.012691477305019112
0.9593136106078022,0.013074160737384202
0.9583566702720699,0.013364445414638665
0.9573997299363377,0.013654730091893127
0.9564427896006055,0.01394501476914759
0.9554858492648732,0.014235299446402052
0.954528908929141,0.014525584123656515
0.9535719685934088,0.014815868800910978
0.9526150282576765,0.01510615347816544
0.9516580879219443,0.015396438155419903
0.950701147586212,0.015686722832674364
0.9497442072504798,0.015977007509928826
0.9487872669147476,0.01626729218718329
0.9478303265790153,0.01655757686443775
0.9468733862432831,0.016847861541692214
0.9459164459075509,0.017138146218946677
0.9449595055718186,0.01742843089620114
0.9440025652360864,0.017718715573455602
0.9430456249003542,0.018009000250710065
0.9420886845646219,0.018299284927964527
0.9411317442288897,0.01858956960521899
0.9401748038931574,0.018879854282473452
0.9392178635574252,0.019170138959727915
0.938260923221693,0.019460423636982378
0.9373039828859607,0.01975070831423684
0.9363231976055575,0.019945798636252968
0.9353424123251542,0.020140888958269095
0.934361627044751,0.020335979280285223
0.9333808417643478,0.02053106960230135
0.9324000564839445,0.020726159924317478
0.9314192712035413,0.020921250246333605
0.930438485923138,0.021116340568349733
0.9294577006427348,0.02131143089036586
0.9284769153623316,0.021506521212381988
0.9274961300819283,0.021701611534398115
0.9265153448015251,0.021896701856414243
0.9255345595211218,0.02209179217843037
0.9245537742407186,0.022286882500446498
0.9235729889603154,0.022481972822462625
0.9225922036799121,0.022677063144478753
0.9216114183995089,0.02287215346649488
0.9206306331191056,0.023067243788511008
0.9196498478387024,0.023262334110527135
0.9186690625582992,0.023457424432543263
0.9176882772778959,0.02365251475455939
0.9167074919974927,0.023847605076575518
0.9157267067170894,0.024042695398591645
0.9147315219904173,0.024140712538921204
0.9137363372637451,0.024238729679250764
0.912741152537073,0.024336746819580323
0.9117459678104008,0.024434763959909882
0.9107507830837287,0.024532781100239442
0.9097555983570565,0.024630798240569
0.9087604136303844,0.02472881538089856
0.9077652289037123,0.02482683252122812
0.9067700441770401,0.02492484966155768
0.905774859450368,0.02502286680188724
0.9047796747236958,0.025120883942216798
0.9037844899970237,0.025218901082546357
0.9027893052703515,0.025316918222875916
0.9017941205436794,0.025414935363205476
0.9007989358170072,0.025512952503535035
0.8998037510903351,0.025610969643864594
0.8988085663636629,0.025708986784194154
0.8978133816369908,0.025807003924523713
0.8968181969103186,0.025905021064853272
0.8958230121836465,0.02600303820518283
0.8948278274569743,0.02610105534551239
0.8938326427303022,0.02619907248584195
0.89283745800363,0.02629708962617151
0.8918422732769579,0.02639510676650107
0.8908470885502857,0.02649312390683063
0.8898519038236136,0.026591141047160188
0.8888567190969414,0.026689158187489747
0.8878615343702693,0.026787175327819306
0.8868663496435971,0.026885192468148866
0.885871164916925,0.026983209608478425
0.8848759801902528,0.027081226748807984
0.8838807954635807,0.027179243889137544
0.8828856107369085,0.027277261029467103
0.8818904260102364,0.027375278169796662
0.8808952412835642,0.02747329531012622
0.8799000565568921,0.02757131245045578
0.8789048718302199,0.02766932959078534
0.8779096871035478,0.0277673467311149
0.8769145023768756,0.02786536387144446
0.8759193176502035,0.027963381011774018
0.8749241329235313,0.028061398152103578
0.8739289481968592,0.028159415292433137
0.8729289481968592,0.028159415292433137
0.871933763470187,0.028257432432762696
0.870933763470187,0.028257432432762696
0.869933763470187,0.028257432432762696
0.8689385787435149,0.028355449573092256
0.8679385787435149,0.028355449573092256
0.8669433940168427,0.028453466713421815
0.8659433940168427,0.028453466713421815
0.8649482092901706,0.028551483853751374
0.8639482092901706,0.028551483853751374
0.8629530245634984,0.028649500994080934
0.8619530245634984,0.028649500994080934
0.8609530245634984,0.028649500994080934
0.8599578398368263,0.028747518134410493
0.8589578398368263,0.028747518134410493
0.8579626551101541,0.028845535274740052
0.8569626551101541,0.028845535274740052
0.8559626551101541,0.028845535274740052
0.854967470383482,0.02894355241506961
0.853967470383482,0.02894355241506961
0.8529722856568098,0.02904156955539917
0.8519722856568098,0.02904156955539917
0.8509722856568098,0.02904156955539917
0.8499771009301377,0.02913958669572873
0.8489771009301377,0.02913958669572873
0.8479819162034655,0.02923760383605829
0.8469819162034655,0.02923760383605829
0.8459819162034655,0.02923760383605829
0.8449867314767934,0.02933562097638785
0.8439867314767934,0.02933562097638785
0.8429915467501212,0.029433638116717408
0.8419915467501212,0.029433638116717408
0.8409915467501212,0.029433638116717408
0.8399963620234491,0.029531655257046967
0.8389963620234491,0.029531655257046967
0.8379963620234491,0.029531655257046967
0.8370011772967769,0.029629672397376527
0.8360011772967769,0.029629672397376527
0.8350059925701048,0.029727689537706086
0.8340059925701048,0.029727689537706086
0.8330059925701048,0.029727689537706086
0.8320108078434326,0.029825706678035645
0.8310108078434326,0.029825706678035645
0.8300108078434326,0.029825706678035645
0.8290156231167605,0.029923723818365205
0.8280156231167605,0.029923723818365205
0.8270156231167605,0.029923723818365205
0.8260204383900883,0.030021740958694764
0.8250204383900883,0.030021740958694764
0.8240252536634162,0.030119758099024323
0.8230252536634162,0.030119758099024323
0.8220252536634162,0.030119758099024323
0.821030068936744,0.030217775239353883
0.820030068936744,0.030217775239353883
0.819030068936744,0.030217775239353883
0.8180348842100719,0.030315792379683442
0.8170348842100719,0.030315792379683442
0.8160348842100719,0.030315792379683442
0.8150396994833997,0.030413809520013
0.8140396994833997,0.030413809520013
0.8130396994833997,0.030413809520013
0.8120445147567276,0.03051182666034256
0.8110445147567276,0.03051182666034256
0.8100445147567276,0.03051182666034256
0.8090493300300554,0.03060984380067212
0.8080493300300554,0.03060984380067212
0.8070493300300554,0.03060984380067212
0.8060541453033833,0.03070786094100168
0.8050541453033833,0.03070786094100168
0.8040541453033833,0.03070786094100168
0.8030589605767111,0.03080587808133124
0.8020589605767111,0.03080587808133124
0.8010589605767111,0.03080587808133124
0.8000589605767111,0.03080587808133124
0.799063775850039,0.030903895221660798
0.798063775850039,0.030903895221660798
0.797063775850039,0.030903895221660798
0.7960685911233668,0.031001912361990357
0.7950685911233668,0.031001912361990357
0.7940685911233668,0.031001912361990357
0.7930734063966947,0.031099929502319917
0.7920734063966947,0.031099929502319917
0.7910734063966947,0.031099929502319917
0.7900782216700225,0.031197946642649476
0.7890782216700225,0.031197946642649476
0.7880782216700225,0.031197946642649476
0.7870830369433504,0.03129596378297904
0.7860830369433504,0.03129596378297904
0.7850830369433504,0.03129596378297904
0.7840830369433504,0.03129596378297904
0.7830878522166782,0.0313939809233086
0.7820878522166782,0.0313939809233086
0.7810878522166782,0.0313939809233086
0.780092667490006,0.03149199806363816
0.779092667490006,0.03149199806363816
0.778092667490006,0.03149199806363816
0.777092667490006,0.03149199806363816
0.7760974827633339,0.03159001520396772
0.7750974827633339,0.03159001520396772
0.7740974827633339,0.03159001520396772
0.7731022980366618,0.031688032344297276
0.7721022980366617,0.031688032344297276
0.7711022980366617,0.031688032344297276
0.7701022980366617,0.031688032344297276
0.7691071133099896,0.031786049484626835
0.7681071133099896,0.031786049484626835
0.7671071133099896,0.031786049484626835
0.7661119285833174,0.031884066624956395
0.7651119285833174,0.031884066624956395
0.7641119285833174,0.031884066624956395
0.7631119285833174,0.031884066624956395
0.7621167438566453,0.031982083765285954
0.7611167438566453,0.031982083765285954
0.7601167438566453,0.031982083765285954
0.7591215591299731,0.03208010090561551
0.7581215591299731,0.03208010090561551
0.7571215591299731,0.03208010090561551
0.7561215591299731,0.03208010090561551
0.755126374403301,0.03217811804594507
0.754126374403301,0.03217811804594507
0.753126374403301,0.03217811804594507
0.752126374403301,0.03217811804594507
0.7511311896766288,0.03227613518627463
0.7501311896766288,0.03227613518627463
0.7491311896766288,0.03227613518627463
0.7481311896766288,0.03227613518627463
0.7471360049499567,0.03237415232660419
0.7461360049499567,0.03237415232660419
0.7451360049499567,0.03237415232660419
0.7441408202232845,0.03247216946693375
0.7431408202232845,0.03247216946693375
0.7421408202232845,0.03247216946693375
0.7411408202232845,0.03247216946693375
0.7401456354966124,0.03257018660726331
0.7391456354966124,0.03257018660726331
0.7381456354966124,0.03257018660726331
0.7371456354966124,0.03257018660726331
0.7361504507699402,0.03266820374759287
0.7351504507699402,0.03266820374759287
0.7341504507699402,0.03266820374759287
0.7331504507699402,0.03266820374759287
0.7321552660432681,0.03276622088792243
0.7311552660432681,0.03276622088792243
0.7301552660432681,0.03276622088792243
0.7291552660432681,0.03276622088792243
0.7281600813165959,0.03286423802825199
0.7271600813165959,0.03286423802825199
0.7261600813165959,0.03286423802825199
0.7251600813165959,0.03286423802825199
0.7241648965899238,0.03296225516858155
0.7231648965899238,0.03296225516858155
0.7221648965899238,0.03296225516858155
0.7211648965899238,0.03296225516858155
0.7201697118632516,0.03306027230891111
0.7191697118632516,0.03306027230891111
0.7181697118632516,0.03306027230891111
0.7171697118632516,0.03306027230891111
0.7161745271365795,0.033158289449240666
0.7151745271365795,0.033158289449240666
0.7141745271365795,0.033158289449240666
0.7131745271365795,0.033158289449240666
0.7121793424099073,0.033256306589570225
0.7111793424099073,0.033256306589570225
0.7101793424099073,0.033256306589570225
0.7091793424099073,0.033256306589570225
0.7081841576832352,0.033354323729899785
0.7071841576832352,0.033354323729899785
0.7061841576832352,0.033354323729899785
0.7051841576832352,0.033354323729899785
0.7041841576832352,0.033354323729899785
0.703188972956563,0.033452340870229344
0.702188972956563,0.033452340870229344
0.701188972956563,0.033452340870229344
0.700188972956563,0.033452340870229344
0.6991937882298909,0.0335503580105589
0.6981937882298909,0.0335503580105589
0.6971937882298909,0.0335503580105589
0.6961937882298909,0.0335503580105589
0.6951986035032187,0.03364837515088846
0.6941986035032187,0.03364837515088846
0.6931986035032187,0.03364837515088846
0.6921986035032187,0.03364837515088846
0.6911986035032187,0.03364837515088846
0.6902034187765466,0.03374639229121802
0.6892034187765466,0.03374639229121802
0.6882034187765466,0.03374639229121802
0.6872034187765466,0.03374639229121802
0.6862082340498744,0.03384440943154758
0.6852082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
0.6832082340498744,0.03384440943154758
0.6842082340498744,0.03384440943154758
