mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9969353772296998,0.008137313498055961,,,,,,,,,,,,
1,2,1,0.9853428526655137,0.011981655293623713,,,,,,,,,,,,
2,2,1,0.9853428526655137,0.011981655293623713,,,,,,,,,,,,
3,4,2,0.9700299528179944,0.016048647554245052,,,,,,,,,,,,
4,4,2,0.9700299528179944,0.016048647554245052,5.0,4.0,0.9916699639994364,0.04106125696491435,,,,,,,,
5,4,2,0.9700299528179944,0.016048647554245052,5.0,4.0,0.9916699639994364,0.04106125696491435,,,,,,,,
6,4,2,0.9700299528179944,0.016048647554245052,7.0,5.0,0.9937842630540593,0.04505312041793332,,,,,,,,
7,4,2,0.9700299528179944,0.016048647554245052,7.0,5.0,0.9937842630540593,0.04505312041793332,,,,,,,,
8,4,2,0.9700299528179944,0.016048647554245052,7.0,5.0,0.9937842630540593,0.04505312041793332,,,,,,,,
9,7,5,0.9937842630540593,0.04505312041793332,10.0,4.0,0.9588364854290041,0.03255642935638542,,,,,,,,
10,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
11,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
12,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
13,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
14,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
15,7,5,0.9937842630540593,0.04505312041793332,11.0,10.0,0.9432236167254215,0.045722015738154216,,,,,,,,
16,7,5,0.9937842630540593,0.04505312041793332,17.0,11.0,0.9341553772672442,0.03190848863911945,,,,,,,,
17,7,5,0.9937842630540593,0.04505312041793332,18.0,17.0,0.9182728854316851,0.04426661324534815,,,,,,,,
18,7,5,0.9937842630540593,0.04505312041793332,18.0,17.0,0.9182728854316851,0.04426661324534815,,,,,,,,
19,7,5,0.9937842630540593,0.04505312041793332,20.0,18.0,0.9050093990019509,0.04252163787311169,,,,,,,,
20,7,5,0.9937842630540593,0.04505312041793332,21.0,20.0,0.8933660577818842,0.03524507892882601,,,,,,,,
21,7,5,0.9937842630540593,0.04505312041793332,21.0,20.0,0.8933660577818842,0.03524507892882601,,,,,,,,
22,7,5,0.9937842630540593,0.04505312041793332,21.0,20.0,0.8933660577818842,0.03524507892882601,,,,,,,,
23,7,5,0.9937842630540593,0.04505312041793332,21.0,20.0,0.8933660577818842,0.03524507892882601,,,,,,,,
24,7,5,0.9937842630540593,0.04505312041793332,25.0,21.0,0.8681530498949204,0.05122152549626753,,,,,,,,
25,7,5,0.9937842630540593,0.04505312041793332,25.0,21.0,0.8681530498949204,0.05122152549626753,,,,,,,,
26,7,5,0.9937842630540593,0.04505312041793332,27.0,25.0,0.8567715500585541,0.04112829473901603,,,,,,,,
27,7,5,0.9937842630540593,0.04505312041793332,27.0,25.0,0.8567715500585541,0.04112829473901603,,,,,,,,
28,7,5,0.9937842630540593,0.04505312041793332,27.0,25.0,0.8567715500585541,0.04112829473901603,,,,,,,,
29,7,5,0.9937842630540593,0.04505312041793332,30.0,27.0,0.8458449811693439,0.043768562497712896,,,,,,,,
30,7,5,0.9937842630540593,0.04505312041793332,30.0,27.0,0.8458449811693439,0.043768562497712896,,,,,,,,
31,30,27,0.8458449811693439,0.043768562497712896,32.0,7.0,0.9956782560365598,0.052508843328195075,,,,,,,,
32,30,27,0.8458449811693439,0.043768562497712896,32.0,7.0,0.9956782560365598,0.052508843328195075,,,,,,,,
33,30,27,0.8458449811693439,0.043768562497712896,32.0,7.0,0.9956782560365598,0.052508843328195075,,,,,,,,
34,30,27,0.8458449811693439,0.043768562497712896,32.0,7.0,0.9956782560365598,0.052508843328195075,,,,,,,,
