mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9887317270126581,0.04342655914146259,,,,,,,,,,,,
1,2,1,0.974921756005155,0.04253917205254196,,,,,,,,,,,,
2,3,2,0.9653808624575466,0.026218276533024807,,,,,,,,,,,,
3,3,2,0.9653808624575466,0.026218276533024807,,,,,,,,,,,,
4,3,2,0.9653808624575466,0.026218276533024807,5.0,3.0,0.9518278281374967,0.0038305431994547154,,,,,,,,
5,3,2,0.9653808624575466,0.026218276533024807,5.0,3.0,0.9518278281374967,0.0038305431994547154,,,,,,,,
6,5,3,0.9518278281374967,0.0038305431994547154,7.0,3.0,0.9809073690478657,0.028466548968089356,,,,,,,,
7,7,3,0.9809073690478657,0.028466548968089356,8.0,5.0,0.9488032676197212,0.013836223277646472,,,,,,,,
8,8,5,0.9488032676197212,0.013836223277646472,9.0,7.0,0.9698495043487756,0.04508108802216809,,,,,,,,
9,8,5,0.9488032676197212,0.013836223277646472,9.0,7.0,0.9698495043487756,0.04508108802216809,,,,,,,,
10,9,7,0.9698495043487756,0.04508108802216809,11.0,8.0,0.9173587577016787,0.015849618707625163,,,,,,,,
11,9,7,0.9698495043487756,0.04508108802216809,12.0,11.0,0.9106365225512238,0.02572154047157268,,,,,,,,
12,9,7,0.9698495043487756,0.04508108802216809,13.0,12.0,0.8933484553034758,0.01406998196843034,,,,,,,,
13,9,7,0.9698495043487756,0.04508108802216809,13.0,12.0,0.8933484553034758,0.01406998196843034,,,,,,,,
14,9,7,0.9698495043487756,0.04508108802216809,13.0,12.0,0.8933484553034758,0.01406998196843034,,,,,,,,
15,9,7,0.9698495043487756,0.04508108802216809,13.0,12.0,0.8933484553034758,0.01406998196843034,,,,,,,,
16,9,7,0.9698495043487756,0.04508108802216809,17.0,13.0,0.8805822520965183,0.016149302641738843,,,,,,,,
17,9,7,0.9698495043487756,0.04508108802216809,18.0,17.0,0.8723147364784407,0.045139824078816684,,,,,,,,
18,9,7,0.9698495043487756,0.04508108802216809,19.0,18.0,0.8560211601847998,0.01736360114044795,,,,,,,,
19,9,7,0.9698495043487756,0.04508108802216809,19.0,18.0,0.8560211601847998,0.01736360114044795,,,,,,,,
20,9,7,0.9698495043487756,0.04508108802216809,19.0,18.0,0.8560211601847998,0.01736360114044795,,,,,,,,
21,9,7,0.9698495043487756,0.04508108802216809,22.0,19.0,0.8259162185674344,0.008365126102001115,,,,,,,,
22,9,7,0.9698495043487756,0.04508108802216809,23.0,22.0,0.8062679298192122,0.023651267700236928,,,,,,,,
23,9,7,0.9698495043487756,0.04508108802216809,24.0,23.0,0.7960274795161612,0.02402248897108681,,,,,,,,
24,9,7,0.9698495043487756,0.04508108802216809,24.0,23.0,0.7960274795161612,0.02402248897108681,,,,,,,,
25,9,7,0.9698495043487756,0.04508108802216809,24.0,23.0,0.7960274795161612,0.02402248897108681,,,,,,,,
26,9,7,0.9698495043487756,0.04508108802216809,24.0,23.0,0.7960274795161612,0.02402248897108681,,,,,,,,
27,9,7,0.9698495043487756,0.04508108802216809,24.0,23.0,0.7960274795161612,0.02402248897108681,,,,,,,,
28,24,23,0.7960274795161612,0.02402248897108681,29.0,9.0,0.9793815634176307,0.05098437206142227,,,,,,,,
29,24,23,0.7960274795161612,0.02402248897108681,29.0,9.0,0.9793815634176307,0.05098437206142227,,,,,,,,
