mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.984444252588468,0.0313324019476362,,,,,,,,,,,,
1,1,0,0.984444252588468,0.0313324019476362,2.0,1.0,0.9791521511049782,0.012597551560301394,,,,,,,,
2,1,0,0.984444252588468,0.0313324019476362,2.0,1.0,0.9791521511049782,0.012597551560301394,,,,,,,,
3,2,1,0.9791521511049782,0.012597551560301394,4.0,2.0,0.9890162850416039,0.033841108228933214,,,,,,,,
4,2,1,0.9791521511049782,0.012597551560301394,5.0,4.0,0.9864847573930295,0.051484556701647456,,,,,,,,
5,2,1,0.9791521511049782,0.012597551560301394,5.0,4.0,0.9864847573930295,0.051484556701647456,,,,,,,,
6,2,1,0.9791521511049782,0.012597551560301394,7.0,5.0,0.9953945262964459,0.049143163267117144,,,,,,,,
7,2,1,0.9791521511049782,0.012597551560301394,7.0,5.0,0.9953945262964459,0.049143163267117144,,,,,,,,
8,2,1,0.9791521511049782,0.012597551560301394,7.0,5.0,0.9953945262964459,0.049143163267117144,,,,,,,,
9,7,5,0.9953945262964459,0.049143163267117144,10.0,2.0,0.9736994928175844,0.012858265599594533,,,,,,,,
10,7,5,0.9953945262964459,0.049143163267117144,11.0,10.0,0.95921682170684,0.06749935676055864,,,,,,,,
11,7,5,0.9953945262964459,0.049143163267117144,12.0,11.0,0.9491308472437223,0.06888158483310992,,,,,,,,
12,7,5,0.9953945262964459,0.049143163267117144,12.0,11.0,0.9491308472437223,0.06888158483310992,,,,,,,,
13,7,5,0.9953945262964459,0.049143163267117144,12.0,11.0,0.9491308472437223,0.06888158483310992,,,,,,,,
14,15,12,0.9567411992607282,0.055303541019702,,,,,,,,,,,,
15,16,15,0.9325375016858022,0.045931938671625816,,,,,,,,,,,,
16,16,15,0.9325375016858022,0.045931938671625816,,,,,,,,,,,,
17,16,15,0.9325375016858022,0.045931938671625816,,,,,,,,,,,,
18,16,15,0.9325375016858022,0.045931938671625816,,,,,,,,,,,,
19,20,16,0.9310962032287615,0.03717441356218777,,,,,,,,,,,,
20,20,16,0.9310962032287615,0.03717441356218777,,,,,,,,,,,,
21,20,16,0.9310962032287615,0.03717441356218777,22.0,20.0,0.9180264900876696,0.0238028638449201,,,,,,,,
22,23,20,0.9083840780910895,0.04355538781651804,,,,,,,,,,,,
23,23,20,0.9083840780910895,0.04355538781651804,,,,,,,,,,,,
24,23,20,0.9083840780910895,0.04355538781651804,25.0,23.0,0.868573192831635,0.05227867371080312,,,,,,,,
25,23,20,0.9083840780910895,0.04355538781651804,26.0,25.0,0.8685641948395227,0.02943858126899783,,,,,,,,
26,23,20,0.9083840780910895,0.04355538781651804,26.0,25.0,0.8685641948395227,0.02943858126899783,,,,,,,,
27,23,20,0.9083840780910895,0.04355538781651804,26.0,25.0,0.8685641948395227,0.02943858126899783,,,,,,,,
28,26,25,0.8685641948395227,0.02943858126899783,29.0,23.0,0.9114002703767056,0.0495144387725586,,,,,,,,
29,26,25,0.8685641948395227,0.02943858126899783,29.0,23.0,0.9114002703767056,0.0495144387725586,,,,,,,,
30,29,23,0.9114002703767056,0.0495144387725586,31.0,26.0,0.8628230947509061,0.02308815694730978,,,,,,,,
31,29,23,0.9114002703767056,0.0495144387725586,31.0,26.0,0.8628230947509061,0.02308815694730978,,,,,,,,
32,29,23,0.9114002703767056,0.0495144387725586,31.0,26.0,0.8628230947509061,0.02308815694730978,,,,,,,,
33,29,23,0.9114002703767056,0.0495144387725586,31.0,26.0,0.8628230947509061,0.02308815694730978,,,,,,,,
34,29,23,0.9114002703767056,0.0495144387725586,31.0,26.0,0.8628230947509061,0.02308815694730978,,,,,,,,
35,31,26,0.8628230947509061,0.02308815694730978,36.0,29.0,0.9352632680743738,0.06685998831096836,,,,,,,,
36,36,29,0.9352632680743738,0.06685998831096836,37.0,31.0,0.8432236557747835,0.041900099093395225,,,,,,,,
37,36,29,0.9352632680743738,0.06685998831096836,37.0,31.0,0.8432236557747835,0.041900099093395225,,,,,,,,
38,36,29,0.9352632680743738,0.06685998831096836,39.0,37.0,0.8185038571716523,0.030488923724594417,,,,,,,,
39,36,29,0.9352632680743738,0.06685998831096836,39.0,37.0,0.8185038571716523,0.030488923724594417,,,,,,,,
40,36,29,0.9352632680743738,0.06685998831096836,39.0,37.0,0.8185038571716523,0.030488923724594417,,,,,,,,
41,36,29,0.9352632680743738,0.06685998831096836,42.0,39.0,0.8010054497745136,0.02659712875843711,,,,,,,,
42,36,29,0.9352632680743738,0.06685998831096836,42.0,39.0,0.8010054497745136,0.02659712875843711,,,,,,,,
43,36,29,0.9352632680743738,0.06685998831096836,42.0,39.0,0.8010054497745136,0.02659712875843711,,,,,,,,
44,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
45,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
46,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
47,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
48,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
49,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
50,42,39,0.8010054497745136,0.02659712875843711,45.0,36.0,0.9697206682780275,0.07066745349080006,,,,,,,,
51,42,39,0.8010054497745136,0.02659712875843711,52.0,45.0,0.9581084052744155,0.060388303933986476,,,,,,,,
52,42,39,0.8010054497745136,0.02659712875843711,52.0,45.0,0.9581084052744155,0.060388303933986476,,,,,,,,
53,42,39,0.8010054497745136,0.02659712875843711,54.0,52.0,0.9631912160650349,0.04895829631571577,,,,,,,,
54,42,39,0.8010054497745136,0.02659712875843711,54.0,52.0,0.9631912160650349,0.04895829631571577,,,,,,,,
55,42,39,0.8010054497745136,0.02659712875843711,54.0,52.0,0.9631912160650349,0.04895829631571577,,,,,,,,
56,42,39,0.8010054497745136,0.02659712875843711,57.0,54.0,0.9790948895129381,0.05496132137614048,,,,,,,,
57,57,54,0.9790948895129381,0.05496132137614048,58.0,42.0,0.7614632103926662,0.044844880122915404,,,,,,,,
58,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
59,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
60,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
61,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
62,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
63,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
64,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
65,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
66,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
67,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
68,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
69,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
70,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
71,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
72,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
73,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
74,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
75,57,54,0.9790948895129381,0.05496132137614048,59.0,58.0,0.7313572005309061,0.028478519378939297,,,,,,,,
76,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
77,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
78,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
79,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
80,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
81,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
82,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
83,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
84,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
85,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
86,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
87,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,,,,,,,,
88,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,
89,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,
90,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,
91,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,
92,59,58,0.7313572005309061,0.028478519378939297,77.0,57.0,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,
93,77,57,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,,,,,
94,77,57,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,,,,,
95,77,57,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,,,,,
96,77,57,0.9906230467841316,0.042404974214669634,89.0,59.0,0.7334605555764439,0.033726939095646474,,,,,,,,
97,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
98,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
99,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
100,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
101,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
102,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
103,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
104,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
105,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
106,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
107,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
108,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
109,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
110,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
111,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
112,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
113,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
114,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
115,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
116,89,59,0.7334605555764439,0.033726939095646474,98.0,77.0,0.9989754893661321,0.03830556284673516,,,,,,,,
117,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
118,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
119,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
120,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
121,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
122,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
123,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
124,89,59,0.7334605555764439,0.033726939095646474,118.0,98.0,0.9975904612606842,0.047176598085303396,,,,,,,,
