mutation_step,id_1,parent_1,f_r_1,phi_1,id_2,parent_2,f_r_2,phi_2,id_3,parent_3,f_r_3,phi_3,id_4,parent_4,f_r_4,phi_4
0,1,0,0.9834657199981676,0.010993979619531191,,,,,,,,,,,,
1,1,0,0.9834657199981676,0.010993979619531191,2.0,1.0,0.9855572686305522,0.02103130955335901,,,,,,,,
2,3,2,0.9709061200492265,0.03114683630839396,,,,,,,,,,,,
3,3,2,0.9709061200492265,0.03114683630839396,,,,,,,,,,,,
4,3,2,0.9709061200492265,0.03114683630839396,5.0,3.0,0.9381364300142218,0.013672714711303626,,,,,,,,
5,3,2,0.9709061200492265,0.03114683630839396,5.0,3.0,0.9381364300142218,0.013672714711303626,,,,,,,,
6,5,3,0.9381364300142218,0.013672714711303626,7.0,3.0,0.9893647239410283,0.03814531164226083,,,,,,,,
7,5,3,0.9381364300142218,0.013672714711303626,7.0,3.0,0.9893647239410283,0.03814531164226083,,,,,,,,
8,7,3,0.9893647239410283,0.03814531164226083,9.0,5.0,0.919816120152704,0.028538718779152768,,,,,,,,
9,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
10,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
11,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
12,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
13,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
14,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
15,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
16,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
17,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
18,7,3,0.9893647239410283,0.03814531164226083,10.0,9.0,0.8938104739476608,0.025909681220690435,,,,,,,,
19,7,3,0.9893647239410283,0.03814531164226083,20.0,10.0,0.8813925501289502,0.032547611228808254,,,,,,,,
20,7,3,0.9893647239410283,0.03814531164226083,20.0,10.0,0.8813925501289502,0.032547611228808254,,,,,,,,
21,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,,,,,,,,
22,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,23.0,22.0,0.8576779392185068,0.02229083221889519,,,,
23,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,23.0,22.0,0.8576779392185068,0.02229083221889519,,,,
24,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,23.0,22.0,0.8576779392185068,0.02229083221889519,,,,
25,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,23.0,22.0,0.8576779392185068,0.02229083221889519,,,,
26,7,3,0.9893647239410283,0.03814531164226083,22.0,20.0,0.8480074373157199,0.015099918245896342,23.0,22.0,0.8576779392185068,0.02229083221889519,,,,
27,22,20,0.8480074373157199,0.015099918245896342,28.0,7.0,0.9947606662811249,0.04552180736080073,,,,,,,,
28,22,20,0.8480074373157199,0.015099918245896342,28.0,7.0,0.9947606662811249,0.04552180736080073,,,,,,,,
29,22,20,0.8480074373157199,0.015099918245896342,28.0,7.0,0.9947606662811249,0.04552180736080073,,,,,,,,
30,22,20,0.8480074373157199,0.015099918245896342,28.0,7.0,0.9947606662811249,0.04552180736080073,,,,,,,,
31,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
32,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
33,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
34,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
35,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
36,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
37,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
38,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
39,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
40,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
41,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
42,28,7,0.9947606662811249,0.04552180736080073,32.0,22.0,0.8471578655153373,0.02304834594305473,,,,,,,,
43,28,7,0.9947606662811249,0.04552180736080073,44.0,32.0,0.842188162838174,0.025539468623915724,,,,,,,,
44,28,7,0.9947606662811249,0.04552180736080073,44.0,32.0,0.842188162838174,0.025539468623915724,,,,,,,,
45,28,7,0.9947606662811249,0.04552180736080073,44.0,32.0,0.842188162838174,0.025539468623915724,,,,,,,,
