f_r,phi_R0max
0.9999,0.0001
0.9997780956943614,0.0001
0.995054014640642,0.0001
0.9897433365148135,0.0001
0.9872307780917309,0.0001
0.9872307780917309,0.0001
0.9872307780917309,0.0001
0.9823010659803924,0.0001
0.9823010659803924,0.0001
0.9823010659803924,0.0001
0.9823010659803924,0.0001
0.9823010659803924,0.0001
0.9823010659803924,0.0001
0.9789684875947803,0.0001
0.9789684875947803,0.0001
0.9789684875947803,0.00258191864590862
0.9789684875947803,0.00258191864590862
0.9789684875947803,0.00258191864590862
0.9789684875947803,0.00258191864590862
0.9789684875947803,0.002802693897769938
0.9789684875947803,0.002802693897769938
0.9789684875947803,0.002802693897769938
0.9789684875947803,0.002802693897769938
0.9750338127668542,0.002802693897769938
0.9750338127668542,0.002802693897769938
0.9750338127668542,0.002802693897769938
0.9750338127668542,0.002802693897769938
0.9750338127668542,0.002802693897769938
0.9736934730987997,0.002802693897769938
0.9736934730987997,0.002802693897769938
0.9733231650491244,0.002802693897769938
0.9733231650491244,0.003964898202397626
0.9733231650491244,0.003964898202397626
0.9733231650491244,0.003964898202397626
0.9700034757764813,0.0032355108942671426
0.9700034757764813,0.0043579112139039864
0.9700034757764813,0.0043579112139039864
0.9700034757764813,0.0043579112139039864
0.9700034757764813,0.0043579112139039864
0.9700034757764813,0.0070263280180493624
0.9700034757764813,0.00968863496154801
0.9700034757764813,0.010068460283479855
0.9700034757764813,0.010068460283479855
0.9673473408027093,0.010380702680641072
0.9673473408027093,0.011700286482290802
0.9643250851861687,0.010261105142256184
0.9625340677771758,0.010261105142256184
0.9625340677771758,0.01479447269357579
0.9582124151455856,0.014767468339272054
0.9540137175012203,0.014767468339272054
0.9540137175012203,0.014767468339272054
0.9540137175012203,0.016482791225937012
0.9533449065069552,0.016482791225937012
0.9533449065069552,0.016482791225937012
0.944838509684497,0.016482791225937012
0.944838509684497,0.016482791225937012
0.9403180078746967,0.014623719291192291
0.9403180078746967,0.014623719291192291
0.9403180078746967,0.014623719291192291
0.9381658214264308,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.9355141100656617,0.014623719291192291
0.931304210170195,0.014623719291192291
0.931304210170195,0.014623719291192291
0.931304210170195,0.014623719291192291
0.931304210170195,0.014623719291192291
0.931304210170195,0.014623719291192291
0.931304210170195,0.014623719291192291
0.9302639420922295,0.014623719291192291
0.9260274761642907,0.014623719291192291
0.9260274761642907,0.014623719291192291
0.9228323772263408,0.014623719291192291
0.9228323772263408,0.014623719291192291
